,spinydog,winterskate,Aherring,Acod,haddock,yellowtailfl,winterfl,Amackerel,silverhake,goosefish
eggRicker_alpha,3.00E+01,1.00E+01,5.00E-01,1.00E-02,2.00E-02,5.00E-03,3.00E-02,2.00E-02,1.00E+00,1.00E+00
eggRicker_shape,8.00E-01,7.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,4.00E-01,5.00E-01,5.00E-01,5.00E-01
eggRicker_beta,2.67E-03,2.33E-04,5.00E-11,6.25E-14,5.56E-12,2.94E-13,1.14E-12,1.43E-11,5.56E-12,6.25E-04
DS_alpha,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00,5.00E+00
DS_shape,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00,-1.00E+00
DS_beta,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01,5.00E-01
gamma_alpha,4.38E-01,4.61E+10,1.41E+02,6.60E-04,8.83E-02,6.57E-07,3.88E-12,1.73E+00,7.67E-01,0.00E+00
gamma_shape,5.06E-01,-1.49E+00,4.19E-01,9.97E-01,6.85E-01,1.71E+00,2.96E+00,5.40E-01,6.65E-01,0.00E+00
gamma_beta,-9.80E-06,-1.83E-06,4.21E-07,4.11E-07,-1.49E-08,1.87E-06,1.89E-05,-4.80E-08,6.73E-06,0.00E+00
ricker_alpha,4.33E-03,6.57E-04,1.44E-01,6.36E-04,1.68E-03,3.04E-03,6.28E-03,7.21E-03,3.23E-02,4.79E-03
ricker_shape,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
ricker_beta,3.18E-06,4.80E-07,1.19E-06,4.24E-07,1.01E-07,2.97E-07,5.15E-06,8.39E-07,1.57E-05,1.91E-05
BH_alpha,4.21E-03,1.45E-03,5.19E-01,5.82E-04,4.71E-04,2.49E-03,5.00E-03,7.83E-03,4.31E-02,-4.55E-02
BH_shape,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
BH_beta,2.02E-05,2.86E-06,2.36E-05,7.99E-07,4.53E-08,2.29E-07,5.93E-06,3.23E-06,4.27E-05,-5.62E-04
shepherd_alpha,1.40E-03,5.00E-04,1.31E-02,5.30E-04,4.00E-03,1.18E-02,5.51E-03,3.00E-03,8.07E-02,5.00E-03
shepherd_shape,1.00E+00,2.00E+00,2.00E+00,4.82E+00,1.00E+00,2.00E+00,2.00E+00,1.00E+00,4.20E+00,2.00E+00
shepherd_beta,4.20E+04,1.20E+05,7.62E+05,1.81E+05,4.73E+03,6.35E+03,6.44E+03,9.47E+04,1.78E+04,4.66E+03
hockey_alpha,0.00021284,0.000377877,0.008711847,0.000395317,0.000371069,0.009062314,0.003586669,0.0011256,0.087411163,0.000683997
hockey_shape,208793.96,177173.21,454970.0741,105593.0718,99119.78432,2859.1603,3793.414414,201578.3674,7261.901505,10229.90734
hockey_beta,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
segmented_alpha,0.000278439,0.000384811,0.04281974,0.000497261,0.004970388,0.01012023,0.005149534,0.001162008,0.1772753,0.001632903
segmented_shape,166785.6,176233.8,92565.47,62036.99,7520.811,2560.277,2642.127,195262.5,4616.769,5175.229
segmented_beta,-0.000312443,-0.000589098,-0.04281974,-0.000595115,-0.004970388,-0.01012023,-0.005149534,-0.001162008,-0.1953701,-0.001882096
sigma,0.915751058,1.219426095,0.696921803,0.740472822,1.451964187,0.545068803,0.520816666,0.847431413,0.440908154,0.419880936
type,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00,8.00E+00
stochastic,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00,1.00E+00
